,City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
73,3459452,Dracena,94,BR,1658474101,49,-21.4843,-51.535,64.06,8.19
74,1282256,Hithadhoo,100,MV,1658474101,87,-0.6,73.0833,77.22,10.36
75,6171633,Ucluelet,98,CA,1658474102,90,48.9329,-125.5528,59.09,2.73
76,6171633,Ucluelet,98,CA,1658474102,90,48.9329,-125.5528,59.09,2.73
77,2303611,Esim,95,GH,1658474074,77,4.8699,-2.2405,74.05,4.81
78,5557293,Sitka,100,US,1658474104,87,57.0531,-135.33,53.49,4.61
79,2110227,Butaritari,15,KI,1658474104,74,3.0707,172.7902,81.86,6.58
80,2110227,Butaritari,15,KI,1658474104,74,3.0707,172.7902,81.86,6.58
81,3443061,Chui,78,UY,1658474109,93,-33.6971,-53.4616,51.22,2.75
82,2138522,Poya,100,NC,1658474109,86,-21.35,165.15,75.56,6.42
83,2013216,Vysokogornyy,100,RU,1658474110,94,50.1167,139.15,57.92,2.89
84,2123614,Makarov,100,RU,1658474110,99,48.6333,142.8,58.15,2.57
85,5848280,Kapaa,40,US,1658474110,81,22.0752,-159.319,79.12,13.8
86,1701054,Marawi,100,PH,1658474111,87,7.9986,124.2928,76.53,2.71
87,2088122,Port Moresby,43,PG,1658473992,83,-9.4431,147.1797,79.63,7.49
88,3994535,Ocampo,26,MX,1658474112,72,21.65,-101.5,56.39,7.36
89,2236967,Soyo,100,AO,1658474112,78,-6.1349,12.3689,70.61,8.39
90,3832899,Viedma,100,AR,1658474113,74,-40.8135,-62.9967,44.26,8.84
91,1516048,Khovd,100,MN,1658474113,26,48.0056,91.6419,78.49,3.04
92,2191562,Dunedin,100,NZ,1658473876,72,-45.8742,170.5036,44.8,1.99
93,3577430,Road Town,10,VG,1658474114,78,18.4167,-64.6167,80.69,21.09
94,2108857,Gizo Government Station,68,SB,1658474115,69,-8.103,156.8419,83.35,2.82
95,4034551,Faanui,23,PF,1658474115,74,-16.4833,-151.75,77.32,12.41
96,546282,Kologriv,3,RU,1658474115,53,58.8275,44.3178,74.39,4.99
97,2155415,New Norfolk,54,AU,1658474116,77,-42.7826,147.0587,51.3,3.09
98,2122493,Omsukchan,0,RU,1658474116,39,62.5333,155.8,60.85,11.54
99,5554428,Ketchikan,0,US,1658474117,93,55.3422,-131.6461,52.27,3.44
100,1293625,Dawei,100,MM,1658474117,89,14.0833,98.2,78.64,7.07
101,2023226,Kamen'-Rybolov,27,RU,1658474118,77,44.7481,132.0403,73.08,7.63
102,1852357,Shimoda,0,JP,1658474118,79,34.6667,138.95,89.1,12.39
103,1852357,Shimoda,0,JP,1658474118,79,34.6667,138.95,89.1,12.39
104,2156927,Moree,79,AU,1658474119,54,-29.4667,149.85,63.37,14.03
105,2156927,Moree,79,AU,1658474119,54,-29.4667,149.85,63.37,14.03
106,926308,Monkey Bay,4,MW,1658474124,58,-14.0728,34.9201,71.26,9.26
107,3897774,Buin,0,CL,1658474125,54,-33.7333,-70.75,53.74,3.15
108,3407762,Amapá,39,BR,1658474125,99,1.0,-52.0,69.6,0.98
109,2122090,Pevek,100,RU,1658474126,100,69.7008,170.3133,31.86,6.64
110,1636426,Manggar,100,ID,1658474126,81,-2.8833,108.2667,79.38,4.56
111,4944903,Nantucket,20,US,1658474126,73,41.2835,-70.0995,77.05,9.22
112,88533,Awjilah,0,LY,1658474127,39,29.1081,21.2869,80.15,9.22
113,2446796,Bilma,75,NE,1658474127,31,18.6853,12.9164,93.11,6.35
114,1526038,Atbasar,4,KZ,1658474128,38,51.8,68.3333,76.14,16.69
115,1714733,Dingle,100,PH,1658474128,71,10.9995,122.6711,87.12,6.53
116,4272340,Great Bend,0,US,1658474129,67,38.3645,-98.7648,79.03,8.05
117,2447513,Arlit,84,NE,1658474129,14,18.7369,7.3853,94.5,12.93
118,2447513,Arlit,84,NE,1658474129,14,18.7369,7.3853,94.5,12.93
119,5359864,Isla Vista,0,US,1658474131,77,34.4133,-119.861,77.92,5.75
120,3144987,Beisfjord,100,NO,1658474131,94,68.3751,17.5988,57.04,2.33
121,3144987,Beisfjord,100,NO,1658474131,94,68.3751,17.5988,57.04,2.33
122,141736,Bam,2,IR,1658474133,8,29.106,58.357,104.47,9.17
123,5954718,Flin Flon,100,CA,1658474133,82,54.7682,-101.865,51.57,9.55
124,4726521,San Patricio,6,US,1658474134,81,28.017,-97.5169,84.88,11.83
125,5703673,Elko,6,US,1658474134,19,41.0002,-115.5012,72.23,4.0
126,3116224,Monzón,11,ES,1658474135,43,41.9108,0.1941,80.02,3.22
127,5870133,Nome,100,US,1658474136,81,64.5011,-165.4064,50.07,10.36
128,2253354,Dakar,100,SN,1658474136,90,14.6937,-17.4441,77.88,6.04
129,152042,Naberera,16,TZ,1658474137,61,-4.2,36.9333,62.94,12.12
130,4020109,Atuona,0,PF,1658474137,69,-9.8,-139.0333,77.4,13.56
131,164947,Salamiyah,0,SY,1658474138,29,35.0113,37.0532,87.33,15.55
132,3831208,Qaanaaq,100,GL,1658474139,85,77.484,-69.3632,44.89,7.54
133,5962442,Goderich,0,CA,1658474139,94,43.7501,-81.7165,64.72,2.3
134,3471451,Arraial do Cabo,0,BR,1658474140,87,-22.9661,-42.0278,68.95,16.28
135,554535,Kaduy,7,RU,1658474140,51,59.2,37.15,74.08,3.65
136,3893629,Coquimbo,100,CL,1658474140,87,-29.9533,-71.3436,53.33,1.14
137,3576994,Cockburn Town,100,TC,1658474141,80,21.4612,-71.1419,82.15,21.12
